overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"09 12, 2008",A29KXDXYC9JEX2,B000TTGSIA,Josh D. Gregorio,"Avoid this game. It's very buggy even with the patches. Tons of problems. Some examples:

1) You step off a platform and end up trapped behind it's legs. You can't jump over, crawl under, or go around. Restart the level.

2) The gun site is not accurate. Often you have to aim a little bit off of the target to get a hit. Hard to find the magic sweet spot when enemies are running after you.

3) The AI sucks. The enemies pretty much line up to die. The only problem is your gun has a bent site or something so you can sometimes miss a head shot from 2 feet away. Maybe they did that on purpose to make the game harder and cover up the lousy AI.

Avoid this game.",So buggy....,1221177600,,{'Platform:': ' PC'},
1.0,True,"06 27, 2009",ACJHQDET85KJ2,B000BC38LA,J. Akins,"I have a VOODOO top of the line line rig so the problems are not with the PC.IT is in the game. Freezes up,Black screen,blue screen,yellow screen,When turning half the screen goes blank sometimes. Not worth the price or effort. It got to the point that my pc would shut down on the blue screen of death.( The pc closed down to prevent damage )Near the end of the game it just quit loading. The loading bar would freeze about half way so I never got to finish the game. BEWARE THIS GAME COULD DAMAGE YOUR COMPUTER!!!!!!","BUGS,BUGS EVERY WHERE BUGS",1246060800,,,
1.0,False,"09 4, 2014",AI7ZGCWCKNJSI,B00EFRN2IQ,Tommy Malloy,Somehow this game feels like a giant step backward.,Giant step backward,1409788800,10,"{'Edition:': ' Standard', 'Platform:': ' PC / Mac'}",
1.0,True,"02 2, 2015",A2D47VKAV4R3I9,B000RJOAP0,Sarcasm123,It doesn't work it doesn't fit in the back of the 64. it is the same size its just to lose it doesn't show on the top on the TV. crap!!!! However it does work when ypu have the TV on the correct channel. The picture is great ant the color is alot better than the previous one i was useing.,crap!!,1422835200,,,
1.0,False,"01 30, 2006",A2UIH7H2653DFS,B0009WPZMC,R.M.F.,"Ironic how the most visually impressive game of the Madden franchise is also the worst one of the bunch.

Everything everybody is saying is true. One glaring omission: JOHN MADDEN!!!! The whole ""generic announcer through an AM radio"" commentary is incredibly annoying. Why didn't EA include the audio tracks from Michaels and Madden?

This is a half-baked game, no question about it. Don't waste your money.",Worst Madden Game in the Franchise,1138579200,2,{'Format:': ' Video Game'},
1.0,True,"01 6, 2011",A1Z8XU1WEN8LDG,B00161I5IQ,K. Mendoza,"Bought this 2 years ago. The biggining was so bad I stopped playing the first week and gave the rest of the free month plus the trial to a friend... Funny thing is after a week, he also gave it away.

The controls are bad and the interface is terrible. The game just throws you into the fray and says ""Enjoy"" without giving much instruction. Not as many players as Guild Wars or WoW.

Im a FF fan. Loved VII, VIII, IX, and X.

This game, along with FFXIV, give final fantasy a bad name. I think FFXIII just focused on graphics...",Square Is Climbing An Uphill Battle...And Losing,1294272000,,{'Platform:': ' PC'},
1.0,True,"02 12, 2014",AD8M3PE8J2G86,B00BS520SG,S D,"It doesn't work as advertised and it is inexcusable for them to lie about the capabilities just to sell a product. I contacted the people at Mayflash, I sent emails to three different sales representatives and have received absolutely no responses from them whatsoever. Why? Because they are scam artists. Once they have your money they no longer want to associate with you nor do they value you as a customer. They don't think they should be held liable for the crappy products they produce. Luckily I was able to return this item via Amazon. Aside from that, this item is garbage, the controller port barely holds the controller you plug into it. It's completely useless, unnecessary, and made of weak cheap materials.",This item is awful,1392163200,,,
1.0,False,"01 31, 2008",A3IBNJGANLYF1Q,B000MUW98O,Luis N. Salva,"wll this game looks amazing but thats all,the people that gives this game 5,4 or even 3 stars evidentli don't like to get ther moneys worth.this game is a big disapointment to all burnout fans,lets start by sayn crach mode is gone,you have to drive like a retard all over the city and stop at a street light to get on a race,takedown and other shep tipes of raaces. It had the potential to be a great game but it didn't even came close to it. Dont make the same mistake that i did and buy this doungrade of a great game,just wait for grran turismo 5 that would be a better bet.",biger is not better,1201737600,6,{'Platform:': ' PlayStation 3'},
1.0,False,"07 9, 2007",A3CL82UITQJLWS,B000K1CS5Y,John Doe,I wonder if they are dropping the price on these because they are going to bring back the feature every gamer has been yelling for...Rumble ! I'll wait.,gen 1 controller,1183939200,4,,
1.0,False,"05 30, 2002",AYMD77ITD15PT,B00005RCQJ,Mindcrime,"I sure expected a lot more from this game than what it offers. The game itself is ok but the graphics are terrible. This game was obviously not built from the ground up to take advantage of the Xbox. Rather, Lucas just took an existing graphics engine and packaged it as a new game. I'm suprised that Microsoft allowed this game to be one of the early Xbox titles. With so many other games that have good gameplay and fantastic graphics, I just don't understand why this one was released except as a fill in until other Star Wars games come out. With the power of the Xbox this game could have been fantastic if it was built to be a top notch game like Halo. Instead we are left with a ok game and 1995 type graphics for the same money that a game such as Halo costs.","Ok game, terrible graphics",1022716800,3,,
1.0,True,"01 3, 2018",A1Z6JPOIYZLCLJ,B01DXAWYBQ,Chrissy,was advertized as a PS3 controller. Make sure to be careful.,WAS advertized as a ps3 controller set.,1514937600,,,
1.0,False,"04 26, 2012",A3MK8FMDY3NE59,B002I0K6Q8,JPX,The DLC is on the disc you must buy it at additional cost. Capcom is double dipping again. Buyer beware.,DLC on the disc don't buy.,1335398400,6,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 3'}",
1.0,True,"09 18, 2012",A3F4W9AYJ6UHM0,B0002J23D6,L. F. Degutis,Be Aware of which Version you're getting as there are many from version 1 to 9.2. i have seen some for sale supposedly version 10 and 10.1. but what i ended up getting was a version 1 and not a version 4 as seller had stated. and when seller was contacted they weren't aware there was any other versions available. the games we were trying to break into weren't included on version 1 and we haven't been successful to manually break into those games.from what I've been able to determine is that it takes a higher version to get into the games we want.,Be Aware of which Version you're getting,1347926400,,,
1.0,False,"07 2, 2014",AFSO322QHIPYE,B0050SWUTQ,cbf,"loved the first two, couldn't finish the 3rd.  Like all great games that become popular, the industry ruined this one.",loved the first two,1404259200,,{'Format:': ' Video Game'},
1.0,True,"04 4, 2009",A31GHUVQ0N2NXH,B0014468XE,BirdOPrey5,"I loved the original Sim City and I thought Sim City 2000 was probably one of the best games for the PC ever... I also had Sim City 3000 which is where the buggy interface started detracting from the gameplay and I had Sim City 4 back when it originally came out and the game was basically unplayable. I had hoped after many years without thinking about it that they'd have 'fixed' the game but they haven't...

Sim City 4 Deluxe is too buggy to play... I had it on for just an hour or so and the game just closed, no warning, no opportunity to save... even during play setting up roads and water pipes aren't fun because things just don't work like they should- To get roads and highways to connect like you want is a real pain- this is a GAME it's supposed to be FUN- don't tell me these roads don't fit together- just MAKE THEM FIT... the same with rewards and special items like the Marina- it takes forever to find a suitable spot to place these things- once again- let me place them and let the game deal with whatever is has to to make them fit.

Worse then the play options was the setting up of the game... It takes 2 discs to install - the second disc however was bad/blank... my computers couldn't see ANY data on the disc and the install wouldn't complete- I had to borrow the 2nd disc from someone else to complete the install- if I didn't know someone with it I'd be out of luck.

Everything about this box is annoying like this... avoid it- this isn't the Sim City you remember. :(

Also laptop users- FYI- the outside of the box says that laptop video cards (even if they meet the 128 MB memory requirement) are NOT SUPPORTED- they may work, they may not and if they don't the publisher doesn't want to hear about it- so don't waste your money or time if you planned to use this on a laptop.",Great concept but still too buggy to play - skip it.,1238803200,6,,
